channel_name,date,likes,comments_count,view_count,title
CANDY,2025-08-12 07:41:46+00:00,89,5,2800,zudio aug collection  sale zudio myzudio zudiosale zudiohaul haul
Suhana Singh,2024-08-28 08:21:54+00:00,0,4,110975,zudio haulzudio one pices haul new arrivalszudioindia zudioonlineshopping suhanasingh youtube
you me we,2025-07-04 07:43:47+00:00,1100,4,157428,zudio sale truth fashion shopping zudio zudioshoppingvlog shorts shortsfeed sale youmewe
HER Wardrobe,2025-05-22 17:58:31+00:00,4700,7,636424,zudio summer collection summer zudio zudioshoppingvlog summerfashion shopping shoppingvlog
TheBaredBeauty,2025-08-10 02:30:38+00:00,183,3,9279,500 challenge at zudio  how many beauty products can i buy subscribe to watch part2 zudio
Aishwarya Gupta,2025-05-03 15:19:14+00:00,35000,105,2718911,zudio cloud kiss lip colour  zudio makeup zudio hudabeauty blushfilter zudiobeauty
Vlogsofsona,2024-10-30 13:30:09+00:00,72000,156,1507987,zudio shopping vlog  total disappointment   vlogsofsona  shopping diwali
Facebuilds,2025-02-14 12:33:17+00:00,0,170,5224198,how zudio expanded so fast zudio business shorts
Allen Choudhary,2022-12-09 05:18:14+00:00,103000,753,4281236,zudio vs zara zara zudio zarahaul jacket pufferjacket dailyshorts outfitideas clothing
MR Vlogs by Mansha,2023-09-03 08:38:14+00:00,7700,22,709751,zudio latest mens collection starting from rs99 part3 youtube shorts trending
Malayali Malavika ,2025-08-04 01:50:59+00:00,0,6,88770,zudio sale started shortsfeed shopping
Aapki Pratiksha,2025-07-06 13:22:33+00:00,208,1,19729,zudio big disappointment    shopping zudio shorts shoppingvlog zudioshoppingvlog makeup
CANDY,2025-06-24 07:37:06+00:00,234,5,18534,zudio collection june 25 zudio zudiohaulvideo zudioindia haul zudiowomencollection
It'sGracyy,2025-06-14 17:17:04+00:00,417,0,38086,zudio collectionmini vlog shorts youtube trending viral minivlog zudio
Wandering Soul,2025-08-03 17:25:15+00:00,4400,78,1599961,zudio salezudio zudioshopping zudiofinds zudiosale shopping noida delhi ncr westside
Rachna Pathak ,2025-07-31 16:17:30+00:00,228,10,37559,zudio biggest sale is live  shorts ytshortsvideo shortsfeed zudiosale2025 zudiosale trending
Walk with shwa,2025-08-02 01:42:30+00:00,179,6,21253,zudio kazhakuttom august offer review zudio zudioshoppingvlog zudiooffer
Kovai Pangali,2025-08-02 04:32:37+00:00,114,2,8819,zudio august month sale coimbatore zudioshoppingvlog zudio coimbatoreshopping
Dipa Nnita Roy,2025-07-10 15:46:57+00:00,868,3,75629,zudio new collection 2025 zudio zudioshoppingvlog zudiohaulvideo viral
Kriti Chaudhary ,2025-08-08 07:55:04+00:00,57,1,13179,zudio rose highlighter zudiofinds zudioshoppingvlog highlighter shine youtubeshorts
Deals Trivandrum ,2025-08-01 12:53:41+00:00,179,0,12516,zudio offers 499 or less sales i live now
Yashaswi Shukla ,2025-08-07 05:41:02+00:00,0,5,6221,zudio august sale collection zudiosale2025 zudio shorts sale zudioindia zudioshoppingvlog
Khushi singh,2025-04-20 04:59:52+00:00,399,48,32910,zudio denim  zudio denim zudioindia zudiohaulvideo zudiocollection zudiohaul haul jeans
Asvi Vlogs,2025-07-27 16:54:05+00:00,27000,61,639548,imakutty  me at zudio  asvivlogs zudio zudioshopping shortvideo
Prakash TV,2025-07-25 12:48:29+00:00,1700,61,129917,zudio biggest sale coming shorts
Payal Ghose ,2024-12-17 11:54:47+00:00,4000,63,378202,zudio bags new collection zudioshoppingvlog zudiowomencollection zudiobag zudiohaulvideo zudio
Samir Talks,2025-08-08 04:30:06+00:00,1300,5,31040,zudios 8000 cr reality check shorts business
,,0,0,0,
That Girl!!,2025-08-03 15:31:01+00:00,19,1,2500,zudio accessories under rs 149 ll grab yours now from your nearest zudio store  zudio explore
Foodie Bharathi,2024-02-19 10:31:00+00:00,47000,57,2361206,zudio la enaku aapu vachutaanga shorts zudio shopping dmart tamilvlog product vlog
Chasni Vlogs,2025-07-31 12:16:58+00:00,155,14,14447,zudio sale 2025 is live  shorts patna zudio
FV Guru,2025-07-30 08:27:59+00:00,292,2,43265,biggest sale in zudio all product under rs99 sale zudio zudiosale
Bombay Foodie Tales,2025-08-04 11:30:03+00:00,3900,12,900792,zudio sale  shortsviral
Explore with Sona,2025-08-06 08:30:23+00:00,6,1,965,zudio sale  youtubeshorts shorts minivlog trending zudioshoppingvlog
Sanju Lifestyle ,2025-07-25 12:30:47+00:00,734,80,92829,affordable zudio sale is coming  ashortaday zudiofashion zudioindia
Dhiya Jai,2025-08-02 07:15:21+00:00,173,0,22216,zudio sale under 499zudiosale2025 zudio zudioshoppingvlog alappuzha shorts
Trails of Nabomita,2025-08-02 15:39:04+00:00,356,4,20082,zudio sale shopping haul zudio  zudioshoppingvlog  zudiosale2025  sale  shortsfeed foryou
Harsh kem vlogs,2024-07-06 11:27:28+00:00,6000,26,213421,zudio new collection  zudio zudiohaul zudiofinds zudioshopping zudioindia
Glow with esaa,2025-08-08 14:17:22+00:00,0,6,41402,zudio offer sale    zudio zudioshoppingvlog malayalam
