channel_name,date,likes,comments_count,view_count,title
"Flavours, Fits & Flights",2025-08-08 12:31:02+00:00,15,4,1371,zudio haul  dresses under 499trending fashion ootd zudio youtubeshorts ytshorts viral l
Amaan Vlog,2025-08-02 04:33:00+00:00,54,5,6043,zudio sale 2025 1st to 31st august   zudio sale  zudio haul
DiCap Scoop,2025-07-31 14:21:08+00:00,3200,30,331136,zudio offersadeigapa offers  zudio
Shopping Secrets ,2025-08-05 04:30:05+00:00,25,1,3430,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collectionl zudio
Sicily Xavi,2025-08-13 02:30:06+00:00,7,1,478,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection  zudio
Harsh kem vlogs,2025-08-03 18:50:00+00:00,81,9,6275,westside sale 2025  westside sale haul for men  westside sale vs zudio sale latest collection 2025
Huda ka hunar,2025-08-01 09:10:00+00:00,58,3,4474,zudio latest collection 2025  starting 29  zudio haul  zudio shopping  zudio summer collection
Anu Singh Choudhary ,2025-08-10 06:00:52+00:00,0,0,1489,zudio is doing home delivery meesho fashionjewellery minivlog fashion zudio viral
Bilu vlog ,2025-04-01 05:38:12+00:00,47000,0,4342976,zudio  shortvideo zudio dress mall familyvlog yutubeshorts vairalshort
Komal Bhutada,2025-08-09 03:26:00+00:00,2,0,245,zudio sale start from 1st august shorts shortvideo youtubeshorts zudiotour zudio shopping
Pooja & Poonam,2025-08-12 14:30:39+00:00,16,1,1757,zudio mini skincare products zudio trending ytshorts youtubeshorts
Youdeservetheworld,2025-07-29 12:34:45+00:00,204,2,27040,causal wear from zudio zudiohaul zudio trending viral shorts zudiofinds meeshohaul meesho
Shreengaaar,2025-04-04 06:53:29+00:00,66000,217,1411729,part 2  beauty products from zudio shreengaaar beauty
Sassy Visions,2025-08-11 08:11:38+00:00,2,0,836,zudio sale collection zudio shots shopping viralvideo guwahativlog zudiocollection zudioindia
Grow and Glow,2025-08-01 18:43:43+00:00,3,0,354,zudio latest collection zudio zudiohaulvideo zudiowomencollection trending shortsvideos
Seema maurya,2025-04-20 12:59:04+00:00,2700,15,179767,zudio latest collection  zudio zudioshopping zudiocollection shorts shortsfeed
Aakriti Jain,2025-08-08 10:30:07+00:00,0,2,5075,zudio  latest sale everything under 399 full store tour  try on crazy deals
Ishitavlogs,2025-08-02 10:27:00+00:00,8,2,725,zudio new summer collection zudiosale shopping sale zudio zudioshopping zudiohaul fashion
The Libra Girl,2025-08-09 01:30:25+00:00,17,0,1124,zudio sale trending creativecontentcreator fashiontrends viralvideo digitalcreator zudio fyp
Chhavi's Lifestyle,2025-07-31 09:16:29+00:00,43,0,5291,31 july  sale live    zudio zudioshoppingvlog live discount sale july august
NAV.JEWELS,2025-08-06 13:33:28+00:00,8,0,214,zudio sale haul under rs 99youtubeshorts zudio zudiohaulvideo sale shopping accessories
Explorer Techie,2025-08-03 03:30:03+00:00,5,0,1098,zudio 2025 sale is live dont miss out
Riya Devanshi Vlogs,2025-06-03 13:58:27+00:00,62000,147,2277299,doing free makeup in zudio challenge  i do full makeup for free shorts challenge
The Glorious Girl,2025-08-11 15:34:39+00:00,15,2,1144,zudio episode 3  shortsfeed viral zudio zudiocollection trending shorts thegloriousgirl
Sugan Spot,2025-08-08 14:43:37+00:00,83,0,10487,zudio flat 50 offer  aadisale  zudio shopping  suganspot  zudio sale
Pradhyas World,2025-08-11 11:17:34+00:00,0,0,1643,zudio sale from 99 only trending shopping trending viralvideo fashion
Shalini Gupta,2025-04-25 12:30:29+00:00,30000,53,4067605,zudio summer finds  zudio zudiohaul zudiofinds haul outfits dress viral fyp shorts
the brownbeauty,2025-04-22 16:43:50+00:00,376,3,61534,zudio finds  zudio zudiofinds zudiohaul makeup meesho meeshofinds skincare dmart shorts
bhoomi goswami,2025-08-11 18:29:06+00:00,7,0,1103,zudio shopping dailyvlog shorts trending new collection
rekha tijore,2025-08-09 13:27:27+00:00,7,0,277,best offer sales in zudio start at 299 kurti sales kurtifashion offer zudio zudioshoppingvlog
ThaniOruvan,2025-08-04 11:56:53+00:00,11,5,3086,zudio shopping zudioshopping  zudio ytshorts
Shreya Arora,2025-07-31 17:39:32+00:00,191,0,15749,zudios biggest sale of the season  chasingflavours minivlog zudio
Rena Goswami,2025-07-28 11:30:35+00:00,1200,13,104918,shoe charms from zudioviralvideo youtubeshorts shorts hairstyle fashion diy skincare bts
Dizzling Divya,2025-08-10 16:24:51+00:00,6,1,1704,zudio mini haul zudio zudioindia zudioshoppingvlog zudiomakeup zudiokanpur zudiosale2025
Unbox & Glow,2025-07-31 08:56:22+00:00,5,0,1176,get ready for zudios biggest sale  starts 31st july fashion steals loadingzudio sale 2025
Vlogsofsona,2023-12-07 10:36:30+00:00,72000,188,1331430,mini shopping vlog   vlogsofsona  shopping shoppingvlog zudio diml
Farhan Vlogger,2025-08-02 02:30:02+00:00,184,30,17798,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection  zudio
gopichand ,2025-08-12 08:30:27+00:00,23,0,1651,zudio salezudio zudioshoppingvlog teluguvlogs bangalore
Nishthaniraya ,2025-08-10 04:45:47+00:00,0,7,1341,zudio monsoon sale zudio sale zudiotour zudiohaul shorts shopping youtube shortsvideo yt
Mansi-Loves-Fashion,2025-07-03 16:30:23+00:00,242,8,19857,zudio summer collection 2025   affordable fashion store tour in gurugram
Harish Radha,2025-08-07 12:51:51+00:00,260,2,15781,like share comment shopping zudio
AswathyAchu,2025-08-01 13:42:51+00:00,56,2,3451,zudio sale under 499 minivlog sale shopping
Sejal Mishra,2025-07-01 12:52:23+00:00,707,8,58058,zudio ka itna sasta monsoon collection  zudio  shortsfeed trending viralvideo
"Phoenix Marketcity, Mumbai",2025-07-31 18:29:00+00:00,3,0,23568,fashion drop alert the westside and zudio sale is now live at phoenix marketcity mumbai
Sonali Yadav,2025-08-10 05:30:11+00:00,10,0,862,zudio sale  trending love sale viralvideo ytshorts shorts minivlog new like viral zudio
Enaildiaries,2025-06-02 12:13:19+00:00,492,8,48223,have you tried these new zudio jelly nail polishes  zudio
SUSMITA SUS,2025-03-27 09:50:37+00:00,0,8,364732,010 zudio newly launch beauty products
June pill,2022-10-09 16:19:36+00:00,23000,89,740102,makeup products starting 29zudio makeup shopping junepill
Sakshi Sharma,2025-08-11 15:09:32+00:00,16,0,1692,best lipshade from zudio under 150rs shortsbeta ytshorts shortsvideo cosmetics
Details By Haimanti,2025-08-03 12:33:14+00:00,4,0,419,zudio jewellery haul under 150  zudio zudioshoppingvlog viralvideo trendingshorts
Sweet mona,2025-08-10 06:03:58+00:00,21,1,5828,zudio mackup zudiozudiomackupzudiosalecollectionzudiosaleshoppingfashionshortsytshorts
Sonal vlog,2025-08-01 16:13:57+00:00,61,2,1031,zudio sale 2025 zudio zudiowomencollection zudiosale2025 haul sale2025 zudioshoppingvlog
VlogNFood ‍,2025-08-02 13:45:02+00:00,47,0,3996,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio latest collection zudio shorts yt
BhatakBhavani,2025-07-31 14:00:25+00:00,91,0,9900,zudio sale is live now zudio trending viral love shortsfeed pune fashion lifestyle saree
aarurajputt,2025-08-10 07:38:35+00:00,15,2,1720,i tried zudios rakhi festive sale deals
Akanksha The Xplorer,2025-08-02 15:27:52+00:00,16,0,1807,zudio sale is live now zudiofashion sale2025
lon (Life Of Ni ),2025-06-28 12:51:01+00:00,0,0,2051,zudio findsrun to your nearest zudio song zudio zudiofinds
Nikita Singh,2025-08-08 08:09:23+00:00,7,1,754,zudio sale mens collection zudio zudiotour zudiohaulvideo viral trending menscollection
The rj rider,2025-08-07 06:24:08+00:00,0,5,8991,zudio me shoes nahi mile short ytshort minivlog trending like zudio youtuneshorts
all about me,2025-08-10 05:48:35+00:00,7,0,1571,zudio sale haul zudio sale shopping youtubeshorts viralvideo
Tanya Gupta,2025-07-17 15:47:25+00:00,5,0,1161,zudio shopping with me shopping fashion withme zudio
Rishika,2025-08-09 15:39:23+00:00,12,2,1814,westside sale haul sale shorts zudio westside
Jenuzz Vlogs,2024-08-03 14:11:45+00:00,18000,98,632961,zudio offer   zudio kottayam
Nanthini ,2025-08-08 11:59:59+00:00,7,0,1606,zudio sale
Aalsi Ayushi,2025-07-30 13:30:45+00:00,112,0,12791,zudio raksha bandhan collection 2025   festive kurtis ethnic sets  more starting 299 zudio
Aishwarya Gupta,2025-08-02 16:20:00+00:00,47,0,4492,zudio makeup review in detail zudio makeup zudiobeauty zudiomakuep
Maya tinyworld,2025-06-30 17:02:12+00:00,31,3,2901,1st july sale on zudio includezudio zudiofashion zudioindia shopping fashion  trending
Mushraf Qureshi,2025-04-15 11:25:00+00:00,124000,164,4258277,zudio se bina bill pay kiye samaan le aayeyoutubeshorts shorts zudio zudioexperiment mushraf
No face Diaries!,2025-06-28 16:17:28+00:00,17,0,1398,zudio shopping
Sanu’s Duniya,2025-07-14 06:05:32+00:00,4300,10,202697,zodio re 500 challengeaffordable shopping haulshopping zudiobhubaneswar sanusduniya
rekha tijore,2025-08-09 18:35:33+00:00,9,2,2093,zudio sale starting 199 zudio sale sales zudioshoppingvlog zudioindia zudiosale2025 shorts
Chiky Sharma ,2025-06-18 10:26:45+00:00,243,2,19571,zudio haul under 100 zudio must buy itemschiky sharma zudio
Rj Kadak,2025-07-31 05:55:31+00:00,38,1,3073,zudio sale start crazy offers zudio zudioshoppingvlog zudiosale2025
Piyu's amazing world ,2025-07-29 11:24:26+00:00,31,0,2542,zudio latest collection zudio viral youtubeshorts youtube shopping
Anoushka Sarkar,2024-04-14 08:09:47+00:00,1700,6,236390,lipgloss from zudio zudio lipgloss haul
kiya sauren,2025-08-08 10:32:42+00:00,66,0,6410,i styled her under 500 from the zudio shorts zudio zudioindia youtubeshorts challenge
Harman Bhullar,2025-03-07 14:31:23+00:00,82000,106,3490217,zudio new jewellery collection  zudiofindszudiohaulvideozudiohaulzudiojewelleryjewelleryhaul
pj home maker,2025-08-03 10:42:56+00:00,6,3,1160,zudio sale reality  sale zudio ytshorts shorts
Beअनोखे,2025-07-30 15:31:51+00:00,5,0,324,zudio summer collection trend clothing shopping trending songshorts ytshorts viralvideoyt
Shweta Jaiswal,2025-08-12 17:50:28+00:00,8,0,2106,zudio  zudioshoppingvlog youtubeshorts youtube shortsvideo shorts
Tanuja Choudhary,2024-04-20 06:54:09+00:00,84000,189,2676098,trying the cheapest zudio makeup  zudio zudiohaul zudiomakeup cheapmakeup makeup
Sassy Visions,2025-08-07 18:54:47+00:00,3,0,497,zudio women dresses at 399 only shots zudiocollection zudioshoppingvlog zudio viralvideo
Ramya Srinivaas,2025-08-10 17:32:27+00:00,4,0,1091,worst zudio sale  worst experience 2025 sale do subscribe and like
Arpita Dafadar ,2025-08-09 10:27:13+00:00,7,0,726,gold accessories sale zudio kolkata
Sayyad Mannan,2025-08-11 07:30:03+00:00,5,2,1083,zudio the sale youve been waiting for shorts
Bhanu Bunchkey,2025-07-20 15:17:00+00:00,10,0,978,mini shoppingvlog zudioshopping shopping zudio minivlog viral outing shop trendingyt
Suhana Akbar,2025-04-18 11:48:13+00:00,14000,40,476276,my fav affordable finds from zudio  shorts makeup
Shailesh Chaulagain,2025-08-03 02:31:26+00:00,4200,14,379194,scam in zudioshortsviraltrendingviralshaileshchaulagain
Stories of ANU,2025-07-30 08:37:42+00:00,42,0,2821,this or that zudio  style union in 30 seconds  shortsfeed zudio shorts
Tanya Khanna,2025-06-19 07:57:16+00:00,1800,12,117517,must have from zudio under 899  shorts shopping zudio zudioshoppingvlog zudioindia ytshorts
DaysWithAishu,2025-08-12 14:00:15+00:00,0,0,912,zudio shopping time  shorts shortsfeed dayswithaishu shopping
Alex Sameer Vlogs ,2025-07-24 13:30:19+00:00,0,15,49237,zudio biggest sale  youtubeshorts vlog minivlog zudio dailyvlog
jiya singh,2025-08-13 08:23:41+00:00,8,0,1509,mini vlog viral ytshorts youtubeshorts trending fyp love explore shopping zudio miniso
Little Big Wonders- Working mom,2025-08-09 16:37:46+00:00,9,0,1538,mini vlogzudio shopping haul subscribelikeviralshortstrendinghaulbudgetfriendly
Glow Glam,2025-07-29 07:24:09+00:00,27,3,1708,zudio ladies footwear 2025 zudio zudioshoes zudiohaulvideo zudiohaul deblina zudiotour yt
thenishusinha,2025-06-23 18:54:46+00:00,21,3,2236,zudio zudiohaul zudiofinds shopping zudiosummercollection subscribe shorts shortvideo like
P{}{}j@,2025-05-09 17:08:48+00:00,53000,202,4720457,just zudio things love fashion wedding jewellery zudio trending food trendingshorts grwm
Teraiya Shivam,2025-08-06 13:38:55+00:00,0,1,9655,why zudio not online income reality shorts
FOODIE SHWETA,2025-08-10 12:30:29+00:00,9,0,918,sale aayi hai zudio mein fashion milega budget mein zudio sale zudioshoppingvlog shopping
Harshal Redkar,2025-07-17 03:33:45+00:00,394,1,33092,zudio latest collection zudio western wear zudio zudioshoppingvlog zudiohaulvideo zudioindia
ViankaLooks&Style,2025-08-12 17:00:54+00:00,12,0,1858,beautiful clothes under300  zudio trending fashion onlineshopping shorts shopping
Explorer Zeeshan,2025-07-31 02:51:24+00:00,9,0,204,zudio mens shoes collection  shorts zudio shoes ytshorts
CHILL WITH SREE,2025-07-31 18:07:54+00:00,441,12,15771,youtubeshorts trendingshorts zudiohaulvideo zudioshoppingvlog zudio
Aishwarya Gupta,2025-06-13 13:56:42+00:00,249,8,38762,zudio matte lipstick  zudio makeup zudio zudiomakeup
Kasare's Kitchen & Travel,2025-08-03 15:04:57+00:00,8,0,474,zudio sale 2025  zudio august sale live  zudio zudiosale shorts
Anakhaaaahh,2025-08-02 09:10:16+00:00,0,2,2539,zudio salenew trending makeup beautyfashion fashiontrends zudio bloopers makeup malayalam
Harman Bhullar,2025-05-12 06:35:22+00:00,345,0,65301,zudio summer collection zudiozudiofindszudiohaulzudiohaulvideotrendingzudioshoppingvlogvlog
Aesthetics by me ,2025-06-15 12:11:39+00:00,4,0,1337,zudio finds six colorful rubberbands  shortsfeed ytshortsindia zudio zudiofinds
VlogNFood ‍,2025-08-04 06:04:00+00:00,33,0,3329,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio summer collection 2025 yt shorts
Harsh kem vlogs,2025-08-01 16:53:14+00:00,222,11,8092,zudio sale 2025  zudio summer sale haul zudio zudiosale zudioshopping
Pooja kaushal,2025-06-30 14:00:47+00:00,29000,656,3481062,sharam kar lo ladko  zudio zudioshoppingvlog soppingvlog likeandsubscribe youtubeshorts
Niyati Diaries ,2025-07-19 11:07:10+00:00,43,0,4318,zudio latest collection zudio zudiohaul zudiofinds newcollection shorts ytshorts
SanoosWorld,2025-06-07 15:36:40+00:00,46,1,3763,chavakkad zudiochavakkad zudioshoppingvlog zudioindia zudio shopping eidspecial viral
Life With Jully,2025-08-08 02:49:59+00:00,33,2,1272,zudio biggest sale raksha bandhan 2025 ytshorts shortsfeed shorts shopping marketing offers
SECRETS OF RUHI ,2025-07-16 13:41:04+00:00,0,29,42382,zudio exposedzudio reality shots youtubeshorts
Your Bae‍♀️,2025-08-04 13:25:31+00:00,22,4,1442,zudio nailpolish zudio nailpaint nailart cgl nail zudiotour
Mamta Negi,2024-07-03 18:46:03+00:00,0,4,120857,zudio latest footwear collectionat 299only shorts zudio footwear fashion latestcollection
SWAGGER SHIVANI VLOGS,2025-04-27 13:42:02+00:00,40000,76,942018,my zudio haul  mom ke credit card  se shopping ki hai youtubeshorts shopping shorts vlog
GLAM WITH ARDHRA,2025-08-03 15:04:57+00:00,181,5,14730,199  zudio offer sale   zudio newshorts new glamwithardhra
Scoop of Dushtumi ,2025-08-08 09:21:41+00:00,6,0,1390,zudio sale   ytshorts zudio shorts viral trending
Radhika Jagtap,2024-05-08 14:30:11+00:00,30000,478,1500517,truth about zudio lip beauty products top 3 major fails wasted money zudiomakeup honestreview
Arshia ,2025-08-12 15:40:58+00:00,5,1,725,zudio new collection  of august zudioindia zudio minivlog ytshort viralshorts
The Kritika Factor,2025-05-26 07:05:59+00:00,3400,12,202519,i found the cutesttt things at zudio   pinteresty zudio finds  zudio zudioshoppingvlog
Tamjeeda Sk,2025-08-01 12:30:17+00:00,22,0,1678,zudio sale 2025 in august zudio zudiohaul zudiosale2025 ytshorts viral zudioshopping sale
vine vlogs ,2025-08-12 13:42:41+00:00,12,1,840,zudio finds new kurti collection shortvideo song grwm zudio zudiowomencollection zudiofinds
Dipa Nnita Roy,2025-07-17 14:50:48+00:00,220,5,8637,zudio new collection 2025 zudio zudioshoppingvlog zudiohaulvideo viral
Vels Life Routine,2023-11-05 12:36:10+00:00,21000,125,390199,worst quality  zudio clothes review  tamil  vel
Saanvi's wonderland,2024-05-27 08:03:57+00:00,26000,252,902275,i went to zudio for the first time shorts youtubeshorts
Velli Krish Vlogs,2024-02-27 08:30:24+00:00,26000,93,878383,zudio new makeup collection 2024 zudio makeup haul latest video zudio zudiohaul zudiomakeup
Amna,2025-08-10 19:39:01+00:00,23,4,2372,a little too cheap zudio haul zudio zudiohaul zudiohaulvideo clothinghaul affordablefinds
Dm diaries ,2025-07-23 05:12:17+00:00,6500,50,873745,zudio slipper ya  funnyshorts viralshort zudio zudioindia trendingshorts trendingshorts
Sta Vibes,2025-06-26 13:24:10+00:00,159,3,9897,zudio 2025 cargo collection zudio new cargo stock shorts zudio ytshorts
KALUA ,2025-07-31 11:27:57+00:00,322,17,12155,zudio sale is live zudiosale2025 zudiosale zudiohaul zudiotour zudioshoppingvlog shorts
Pratz World,2025-07-31 17:58:57+00:00,14,0,2655,zudio sale started
AswathyAchu,2025-08-02 06:05:08+00:00,45,0,3605,zudio sale under 499 shopping minivlog
TanyaDushyant vlogs,2024-07-05 16:43:47+00:00,0,19,247884,affordable baby fashion cute outfits under 150 from zudio zudio baby clothing trending
My happy space ,2025-05-24 12:24:00+00:00,6100,42,308575,zudio shopping   zudio tamil zudioshopping shopping minivlog
shimic my home,2025-07-26 06:32:30+00:00,198,2,18117,zudio summer collection 2025  latest collection 2025  zudio  zudio sale 2025 zudio trending
Anshika’s World ,2025-08-12 12:52:55+00:00,28,3,1083,zudio products all under 199  minivlog zudio shortsvideo family zudioshoppingvlog ytshorts
Komal Gaikwad Vlogs,2025-07-30 06:30:16+00:00,8,2,993,trying zudio jewellery shortfeed zudio jewellery fashion fashionstyle jewelry shorts reels
praveen dahima ,2025-08-01 04:35:00+00:00,43,0,3103,zudio sale 31 july to 31st 2025 collection zudio zudiosale shorts
Unbox & Glow,2025-07-31 17:34:38+00:00,7,0,1493,zudio sale 2025  everything under 499 clothes footwear innerwear steal deal
Smart Cooking With Uzma,2025-08-13 09:39:09+00:00,4,1,1142,zudio sale 2025 shorts zudiofootwear zudiosummercollection summersalezudio zudiosale explore
Shivanii Sharma ,2024-04-03 14:21:39+00:00,17000,35,1137849,zudio ki shopping in 149shortsvideo shortsviral ytshorts zudio summercollection shopping
KALUA ,2025-08-03 06:55:05+00:00,66,9,4957,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection  zudio
shimic my home,2025-06-15 06:48:59+00:00,305,2,34647,zudio summer collection 2025  zudio latest collection 2025  zudio zudio shorts trending
Monalishar wonderland,2025-08-12 08:43:15+00:00,4,0,1102,20825 zudio collection youtubeshortsminivlog collectionshortvideo youtubeshortsytshort
PastelBliss._,2025-07-29 13:07:45+00:00,325,5,23857,zudio finds  zudio tamil vlog shopping
Rakshanda Birwadkar,2025-06-01 05:16:43+00:00,309,4,36184,zudio rainy footwear collection 2025starting at rs 299 only travel zudio shopping footwear
Alisha Singh,2025-07-29 12:52:00+00:00,42,2,2828,zudio latest summer collection minivlog vlog vlogs zudio zudioshoppingvlog zudiovlog haul
Navida's Good life,2025-08-01 11:04:23+00:00,11,4,1504,zudio sale 2025   zudio sale  zudio august sale  zudio haul  zudio summer sale 2025
Sassy Visions,2025-08-11 09:50:12+00:00,6,0,1127,zudio footwear collection shots shopping zudiocollection zudioshoppingvlog viralvideo zudio
My happy space ,2025-05-17 16:05:13+00:00,2500,20,201510,zudio shopping minivlog zudio shopping minivlog tamil zudioshopping coimbatore
Vidventures,2025-08-12 11:11:22+00:00,14,0,825,zudio sale haul sale haul shopping zudio trending shoppinghaul pinterest fashion
Komal Bhatt shorts ,2025-07-29 12:29:58+00:00,26,0,1559,zudio shopping haul with my husbands summer collection ytshorts zudio trending shorts
koi baat niiii_,2025-08-13 08:38:10+00:00,3,0,451,shopping becomes mandatory when theres a sale shopping zudio sale shorts
Urvashi Darbar,2025-07-29 06:30:19+00:00,15,3,1207,firse muje aaj zudio me jana pada ytshorts shopping zudio
Harman Bhullar,2025-03-13 12:02:17+00:00,2000,19,182620,zudios hottest red collectionzudiofindszudiohaulvideozudiohaulzudioshoppingvlogpinterestinspo
Foodie Bharathi,2024-02-27 10:32:00+00:00,31000,34,1436796,zudio la 79rs ku ivlo collections ahfree testing vera shorts zudio dmart miniso shopping
Bindass Kavya Shorts,2025-07-07 11:51:47+00:00,36000,308,1161126,zudio makeup collection under 200 only bindaaskavya kavyalifestyle skincareroutine minivlog
PrasannaaBharath,2025-07-30 17:27:43+00:00,25,0,1827,shopping trendingshorts shopping zudio westside hyderabadshopping ytshorts yt zudioindia
Berelatable,2025-06-28 03:30:36+00:00,14,0,810,zudio summer latest collection zudio summercollection fashion lifestyle pratibhachand shorts
Explorer Jessica,2025-08-01 05:30:32+00:00,16,10,2527,zudio sale 2025  zudio august sale 2025  zudio sale is live explorerjessica
FlywithAvni,2025-08-11 09:58:19+00:00,5,0,1196,only 199 shopping viral trending zudio yousta trending
D’s routine ,2023-05-11 14:39:19+00:00,10000,57,854476,comparison series 2  kurtis for women  chennai maxfashion westsidezudiolifestylekurtis
BHAWANYA CREATIONS,2025-06-25 16:33:00+00:00,72,36,14678,zudio sale 2025 is coming zudiosale zudio ytshorts trendingshorts
Gunjan Swami,2025-08-08 21:15:32+00:00,0,0,1665,zudio new launch lipstick  zudio makeup finds  zudio sale new viralvideo viral zudio
LahAn Diaries,2025-08-11 10:20:45+00:00,451,12,4051,anil kosam shopping  india lo zudio yelaago ikkada net alaa anamaatatelugu minivlog fun love
Anupallavi Gowda,2025-07-27 12:30:01+00:00,11000,55,358615,zudio haul anupallavig pavithraskitchenr3k
ShrutiprasadArts,2025-06-11 04:06:35+00:00,61000,242,2593544,zudio tag art art artist shorts shrutiprasadarts painting zudio tag
Seema maurya,2025-06-20 12:59:00+00:00,1100,10,79920,zudio latest collection  zudio zudiolatestcollection zudioshopping shortsfeed shorts
officialnutangoswami,2025-07-30 05:59:26+00:00,1,0,756,zudio ytshorts zudiowomencollection zudiosale2025 beautyblogger goodvibes  liveupdates
Aakriti Jain,2025-08-07 15:10:58+00:00,0,2,3572,zudio latest makeup collection under rs99 sale zudiosale2025 zudio makeup under99
Aesthetic ranithakur,2025-08-12 14:16:35+00:00,12,0,635,zudio sale is live  cosmetics starting price 49  everything under 499 summer sale is live
Naturally curious ,2025-08-06 09:47:54+00:00,0,2,1452,zudio sale 2025 august trending trendingshorts sale zudio zudioshoppingvlog zudiohaulvideo
Roniya Khatwaani,2025-08-12 14:29:36+00:00,13,4,650,zudio new collection zudiohaulvideo shortvideo shorts shopping trending
Her Vibes Only,2025-08-10 13:19:40+00:00,8,0,1538,zudio shopping zudio shopping foryou youtubeshorts shorts
Miss Khushi Vlogs,2025-08-09 08:01:41+00:00,40,14,3911,zudio sale 2025 august  everything under 399  zudio summer collection 2025  miss khushi vlogs
Dylan Tarot ,2025-08-12 21:12:35+00:00,646,44,30359,music song automobile audio love 80smusic musicsong taromancia lecturacartas sad
The Aesthetics,2025-07-22 17:12:20+00:00,20,5,1761,zudio summer collection 2025  latest collection 2025  zudio  zudio sale 2025 zudio trending
glam with khushbu,2025-08-01 09:55:04+00:00,37,17,4899,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection  zudio
CandYmAn Vlog,2025-08-03 05:18:28+00:00,20,7,1482,zudio sale 2025 offer  starts at just 99  zudio summer collection  zudio shopping
Sayee Say,2025-08-13 14:52:52+00:00,0,0,1664,zudio shopping mini vlogshorts viral youtubeshorts ytshorts trendingyoutube shortvideo zudio
