type,caption,comments_count,likes_count,timestamp
Sidecar,"pov you snuck backstage at the zummer runway 

myzudio zummer thezummerrunway",31,7505,2025-04-17 09:38:13+00:00
Video,"the 10 reasons everyones in love this week 

tc apply

myzudio",86,6765,2025-08-05 14:32:04+00:00
Sidecar,"suns out vibes up 
whats your zummer vibe spill in the comments 

myzudio zummer",14,1300,2025-03-30 11:30:00+00:00
Video,"zummer is the upgrade you didnt know you needed 

myzudio zummer",6,501,2025-03-22 13:48:59+00:00
Video,"dressed to glow born to zummer






zummer ootd transition fashion summeroutfits zudio zudiofashion zudioindia fashioncreator",217,17788,2025-03-27 14:32:37+00:00
Video,"if you miss this fridays drop the fomo will live rentfree in your head 

myzudio zummer",9,801,2025-04-03 12:21:45+00:00
Sidecar,"zummer vibe check you in or what 

myzudio zummer",49,2663,2025-03-25 13:02:18+00:00
Video,"the zummer anthem is here now make it your own  

use this template show us how youre zummerin and tag myzudio to get featured 

myzudio zummer",16,810,2025-03-23 11:33:04+00:00
Video,"serving zummer energy on max volume 

myzudio zummer",20,1846,2025-03-29 11:45:46+00:00
Video,"fomo friday just entered its zummer era 

myzudio zummer",13,645,2025-04-04 12:04:47+00:00
Video,"read the signs decode the vibe zummer is closer than you think 

myzudio zummer",15,1204,2025-03-20 13:00:00+00:00
Video,"we saw this top on the zummer runway and said mine now 

myzudio zummer thezummerrunway",39,3676,2025-05-06 12:29:45+00:00
Sidecar,"these fits screaming zummmerrr 

myzudio zummer",13,2237,2025-03-28 08:01:47+00:00
Video,"the beats the chaos the vibes  sneak peek of the madness that made zummer 

myzudio zummer",6,783,2025-03-24 12:08:23+00:00
Sidecar,"denim  sporty fits taking over and were 100 here for it 

myzudio",21,2820,2025-03-10 14:04:36+00:00
Video,"tank tops that do the most so you dont have to 

myzudio",43,3266,2025-03-11 08:30:00+00:00
Video,"you heard that things are about to change 

myzudio zummer",17,1036,2025-03-19 12:59:58+00:00
Image,"summer got left on read  
stay tuned to know why 

myzudio",12,595,2025-03-15 13:31:06+00:00
Video,"z is coming but what does it stand for guess in the comments 

myzudio",22,642,2025-03-17 13:50:34+00:00
Video,"fit check sporty cute and ready to roll 

myzudio",8,1863,2025-03-10 10:05:55+00:00
Video,"from jorts to carpenter jeans every fits a w with boxy shirts

myzudio",32,4878,2025-03-08 12:45:00+00:00
